,노선,일자,정류장순번,정류장,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3
35,7770,2022-06-01(수),52,장안공원,1,0,1,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
36,7770,2022-06-01(수),53,한국은행,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0
37,7770,2022-06-01(수),54,화서문로터리,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0
38,7770,2022-06-01(수),55,글로벌청소년드림센터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7770,2022-06-01(수),56,병무청입구,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
40,7770,2022-06-01(수),57,수원여고.농천교회,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,7770,2022-06-01(수),58,고등동사거리.고등동행정복지센터,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,7770,2022-06-01(수),59,고등동삼거리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,7770,2022-06-01(수),60,수원역.노보텔수원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,7770,2022-06-02(목),0,수원역,9,6,20,37,37,20,10,10,13,18,15,18,32,36,37,62,16,26,17,9,16,9,9,9
45,7770,2022-06-02(목),1,고등동구터미널,0,2,3,1,7,1,1,0,0,0,1,4,2,0,3,0,0,0,0,0,1,0,1,0
46,7770,2022-06-02(목),2,고등동사거리,2,1,5,12,10,2,2,0,1,1,4,2,1,3,0,0,1,0,0,0,0,0,0,0
47,7770,2022-06-02(목),3,수원여자고교,1,11,20,45,43,9,10,3,9,5,4,4,7,5,2,4,1,0,1,0,0,0,0,0
48,7770,2022-06-02(목),4,병무청입구,1,5,17,39,30,16,13,6,5,3,1,5,5,11,9,1,3,0,0,0,2,0,1,1
49,7770,2022-06-02(목),5,글로벌청소년드림센터,1,6,18,23,16,12,3,6,3,2,1,1,2,3,1,1,2,0,0,1,0,0,0,0
50,7770,2022-06-02(목),6,화서문.장안공원,3,5,29,28,28,17,11,12,7,6,4,7,10,8,10,3,2,4,2,1,1,0,0,1
51,7770,2022-06-02(목),7,장안공원,0,3,3,12,4,5,5,0,5,5,2,2,1,4,8,8,6,4,2,2,0,0,0,0
