,정류장명,위도,경도,정류장_구
143,성균관대역.고용노동부경기지청.율전성당,37.3017333,126.9732,장안구
144,신안아파트,37.3027167,126.9756167,장안구
145,샘내현대아파트,37.3025,126.9799833,장안구
146,천천중학교,37.2991333,126.9821,장안구
147,정자3동행정복지센터.정자동중심상가.동양고속성지아파트,37.2949167,126.9932167,장안구
148,삼환나우빌.효성.화서역파크뷰아파트,37.2932833,126.99035,장안구
149,구운동성원아파트.일월먹거리촌,37.2821,126.9748667,권선구
150,서부경찰서.권선구청입구,37.2585667,126.97335,권선구
151,우남아파트,37.2477333,127.0331167,권선구
152,평생교육학습관.남수원중학교,37.25175,127.03495,권선구
153,경기소방본부,37.2556167,127.0361,권선구
154,임광아파트,37.2585,127.0377667,영통구
155,매탄위브하늘채.경기아트센터,37.26155,127.0390667,팔달구
156,자유총연맹,37.2641667,127.0397667,팔달구
157,삼성1차아파트,37.2930667,126.9698167,장안구
158,삼성2차아파트,37.2694667,127.0425667,영통구
159,광교역사공원.광교카페거리,37.2952333,127.0543833,영통구
160,매탄주공4단지.매탄1동주민센터,37.2688167,127.0416667,영통구
161,경기아트센터.매탄위브하늘채,37.2621333,127.0388833,팔달구
162,임광아파트.야외음악당,37.2576167,127.0369833,영통구
163,평생교육학습관.남수원중학교.온수골,37.2509667,127.0340333,권선구
164,대원아파트,37.2479333,127.0327333,권선구
165,이마트,37.2490667,127.023,권선구
166,권선사거리.SK뷰아파트,37.2591333,127.0230833,권선구
167,수원가구거리,37.2591333,127.0276667,권선구
168,인계동동문굿모닝힐아파트,37.2759333,127.0396167,팔달구
169,월드컵경기장입구.우만아파트주공3단지,37.2923667,127.0325167,팔달구
170,수원광교박물관.광교카페거리,37.29475,127.0511667,영통구
171,창현고교.아주대학교.유신고교,37.2808333,127.0421167,팔달구
172,아주대입구.우리은행,37.2755,127.0422833,팔달구
173,권선자이.e편한세상,37.2538,127.0286333,권선구
174,권선보성.두산동아.신우아파트,37.2500833,127.0272833,권선구
175,황골쌍용아파트,37.2636333,127.0822167,영통구
176,삼성전자입구,37.2685667,127.0666833,영통구
177,농수산물사거리,37.25265,127.0284333,권선구
178,새터마을,37.2551,127.0084833,권선구
179,호매실동차고지,37.2547333,126.9629,권선구
180,풍림아파트,37.29885,126.9920333,장안구
181,동신아파트,37.3022667,126.9941167,장안구
182,동남아파트.북수원시장,37.3057167,126.9916833,장안구
183,파장초등학교.SKC,37.3079333,126.9897833,장안구
184,SK스카이뷰.SK아트리움,37.30935,126.9882667,장안구
185,이목동.장안힐스테이트,37.314,126.9853,장안구
186,이목동.장안STX칸,37.3155667,126.98395,장안구
187,북수원시장.효자문사거리,37.3063,126.9909,장안구
188,세한교회,37.2844833,126.9804,권선구
189,호매실엔루체,37.25745,126.9621333,권선구
190,호매실스위첸19단지.능실마을22단지,37.2587167,126.95985,권선구
191,능실초등학교.힐스테이트호매실,37.2601667,126.9569333,권선구
192,호매실마을14단지.장애인종합복지관,37.2627167,126.9571333,권선구
193,호매실마을13단지.수원시보훈회관,37.2653167,126.9576,권선구
194,수원은혜교회.한양수자인파크원아파트,37.2659833,126.95395,권선구
195,한양수자인파크원아파트.자목마을입구,37.2665333,126.9493833,권선구
196,경기도건설본부.경기도동물위생시험소.칠보마을7단지,37.2675167,126.9405333,권선구
197,와이씨티칠보마을6단지.LG빌리지1차아파트,37.2699333,126.9386333,권선구
198,LG빌리지2차.호매실역서희스타힐스,37.2730833,126.9381167,권선구
199,호매실역서희스타힐스.모아미래도아파트,37.2741,126.9403667,권선구
200,칠보중.칠보고교.중촌초교,37.2739667,126.9447833,권선구
201,칠보마을8단지.수원KT소닉붐아레나.서수원칠보체육관,37.2737667,126.947,권선구
202,금곡동행정복지센터.호매실파출소,37.2738167,126.9528833,권선구
203,홈플러스서수원점,37.2747333,126.9555667,권선구
204,칠보입구,37.2726167,126.96,권선구
205,구운동하이마트,37.27525,126.9692,권선구
206,엠코타운아파트,37.2787333,126.9691333,권선구
207,서수원터미널.이마트,37.28275,126.9694333,권선구
208,구운사거리,37.2856,126.9696667,권선구
209,삼성아파트,37.2943833,126.9699333,장안구
210,성균관대학교,37.2971,126.9704833,장안구
211,수원고용노동청,37.3025,126.9728167,장안구
212,성균관대역,37.2985333,126.9713167,장안구
213,농수산물유통센터,37.2828667,126.9689333,권선구
214,가온마을4단지.수원KT소닉붐아레나.서수원칠보체육관,37.2739167,126.9473,권선구
215,칠보고교.칠보중.중촌초교,37.2741333,126.9448,권선구
216,모아미래도아파트.호매실역서희스타힐스,37.2743,126.9409333,권선구
217,LG빌리지3차.모아미래도아파트,37.27385,126.9379833,권선구
218,LG빌리지1차.와이씨티칠보마을6단지아파트,37.2702333,126.9383333,권선구
219,한양수자인파크원아파트.금호초등학교,37.26595,126.9526833,권선구
220,수원시보훈회관.호매실마을13단지,37.2651167,126.9573,권선구
221,오목천동사거리,37.2449333,126.96365,권선구
222,오목천역.영신여자고교.청구아파트,37.242,126.9628167,권선구
223,수원역.역전시장,37.2650833,127.0018167,팔달구
224,오목천역.영신여자고교,37.2420167,126.9629833,권선구
225,지지대교차로(경유),37.3187667,126.9884,장안구
